"id","Layout","Layout percent","Mirror","Mirror percent","Palette","Palette percent","Region","Region percent","Vortex","Vortex direction","Vortex direction percent","Vortex percent","rarity","rank","id again"
223,"Marblelike",14.26,"None",97.85,"Fumica",1.66,"Topology",99.61,"None",,,95.8,"0.221032885222662789370673",727,223
224,"Dotted",4.39,"None",97.85,"Radiosa",1.46,"Topology",99.61,"Medium","Right",2.44,0.78,"0.000011889554313299206158",4,224
225,"Vapor",13.67,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.373994671045127180519785",907,225
226,"Rings",13.87,"None",97.85,"Zovia",2.54,"Topology",99.61,"None",,,95.8,"0.328957245805833298213372",891,226
227,"Marblelike",14.26,"None",97.85,"Kovera",1.07,"Topology",99.61,"None",,,95.8,"0.142473004330270602846298",501,227
228,"Cellophane",5.66,"None",97.85,"Vaporo",1.76,"Topology",99.61,"None",,,95.8,"0.093016153932732797970928",366,228
229,"Oleo",13.96,"None",97.85,"Zovia",2.54,"Topology",99.61,"None",,,95.8,"0.331091791741127183801296",896,229
230,"Oleo",13.96,"None",97.85,"Aurantia",2.93,"Topology",99.61,"None",,,95.8,"0.381928720394292375850398",929,230
231,"Cells",3.81,"None",97.85,"Xenoid",1.07,"Topology",99.61,"None",,,95.8,"0.038066069179406095135398",142,231
232,"Vapor",13.67,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.399523317532849198130407",961,232
233,"Nebula",4.49,"None",97.85,"Udomeo",1.27,"Topology",99.61,"None",,,95.8,"0.053245062497050889283035",191,233
234,"Flame",15.43,"None",97.85,"Levico",1.46,"Topology",99.61,"None",,,95.8,"0.210352685569167391355094",692,234
235,"Dotted",4.39,"None",97.85,"Vermonte",0.1,"Topology",99.61,"Strong","Right",2.44,1.95,"0.000002035882587893699702",1,235
236,"Cells",3.81,"None",97.85,"Vedante",0.59,"Topology",99.61,"None",,,95.8,"0.020989701697055697382499",108,236
237,"Cells",3.81,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.055498194317638790962199",199,237
238,"Oleo",13.96,"None",97.85,"Contra",0.68,"Topology",99.61,"None",,,95.8,"0.088638747395262396100435",352,238
239,"Nebula",4.49,"None",97.85,"Rubero",1.76,"Topology",99.61,"None",,,95.8,"0.073788433066779207658570",283,239
240,"Oleo",13.96,"None",97.85,"Folera",1.76,"Topology",99.61,"None",,,95.8,"0.229417934434796799703093",771,240
241,"Sinousity",1.86,"None",97.85,"Novito",1.27,"Topology",99.61,"None",,,95.8,"0.022056974664702598543098",117,241
242,"Vapor",13.67,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.199123442604231565278283",682,242
243,"Flame",15.43,"None",97.85,"Sidra",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",486,243
244,"Vapor",13.67,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.399523317532849198130407",953,244
245,"Flame",15.43,"None",97.85,"Purpa",2.25,"Topology",99.61,"None",,,95.8,"0.324173659267552427554193",878,245
246,"Marblelike",14.26,"None",97.85,"Kovera",1.07,"Topology",99.61,"None",,,95.8,"0.142473004330270602846298",497,246
247,"Oleo",13.96,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.394963830305360363848166",948,247
248,"Vapor",13.67,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.199123442604231565278283",680,248
249,"Rings",13.87,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.455877757967139141115354",1016,249
250,"Rings",13.87,"None",97.85,"Zalce",1.76,"Topology",99.61,"None",,,95.8,"0.227938878983569570557677",742,250
